Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
177172,"PL EARRINGS, WG, #1399",79019,89812,84767,79791,78721,72110,3.41,PL,16,21.22,MS,4,18.4,OV,2,0.42,DA,98,1.35
179644,"PE MIXED NECKLACE, WG, #18031",10991,26237,21203,16269,15172,8588,2.55,PE,5,6,DA,19,0.17,,0,0,,0,0
181231,"DA BRACELET, WG, #11905",8341,16369,13733,11100,10537,7077,1.34,DA,43,0.23,,0,0,,0,0,,0,0
185639,"PA MIXED NECKLACE, WG, #17588",6649,17531,13973,10504,9721,5074,1.8,PA,1,1.27,SB,1,1.59,PL,1,1,DA,7,0.14
184736,"PL MIXED NECKLACE, WG, #1399",15217,26686,22943,19265,18459,13553,1.9,PL,10,21.02,DA,74,0.21,,0,0,,,0
181279,"FP MIXED NECKLACE, WG, #11052",22596,33038,28157,23335,22312,15909,3.3,FP,1,8,DA,1,0.07,DA,8,0.29,,0,0
184460,"AM MIXED NECKLACE, YG, #18652",11140,16979,13247,9581,8777,3898,2.29,AM,1,5.28,AM,1,0.19,DA,3,0.03,,0,0
180312,"AQ MIXED NECKLACE, WG, #18307",27213,41739,36965,32236,31195,24921,2.43,AQ,1,3.19,DA,3,0.2,DA,3,0.03,DA,26,0.14
181747,"AQ MIXED NECKLACE, WG, #17070",23657,34734,31057,27483,26688,21912,1.85,AQ,1,3.19,DA,3,0.2,,0,0,,0,0
184588,"SA BRACELET, WG, #1399",7132,13886,11705,9528,9044,6152,1.12,SA,4,0.39,DA,3,0.21,,0,0,,0,0
182561,"SA BRACELET, WG, #11586",5544,11488,9546,7642,7218,4687,0.98,SA,1,0.4,DA,6,0.16,DA,1,0.02,,0,0
179743,"DA BRACELET, WG, #18250",9429,15778,13696,11662,11222,8511,1.05,DA,3,0.28,DA,4,0.07,,0,0,,0,0
174865,"PL BRACELET, PG, #1278",26053,39121,33035,26966,25687,17683,4.13,PL,19,9.08,,0,0,,0,0,,0,0
