Stock no,Description,As is,18K Code,14K Code,10K Code,9K Code,Silver Code,Gold weight,1st Stn,1st Stn qty,1st Stn weight,2nd Stn,2nd Stn qty,2nd Stn weight,3rd Stn,3rd Stn qty,3rd Stn weight,4th Stn,4th Stn qty,4th Stn weight
184923,"RU RING, WG, #17748",44579,54146,49871,45619,44722,39092,2.9,RU,1,0.94,DA,12,0.42,,0,0,,0,0
183201,"SA EARRINGS, WG, #80098",23709,31463,28002,24554,23808,19264,2.35,SA,2,1.26,DA,24,0.32,,0,0,,0,0
152645,"PS PENDANT, WG, #10068",6497,9124,7919,6672,6416,4815,0.83,PS,6,0.4,DA,1,0.05,,0,0,,0,0
172026,"RU PENDANT, WG, #17099",28766,39369,34432,29519,28460,21979,3.35,RU,3,0.98,RU,2,0.4,DA,1,0.06,DA,76,0.37
183621,"RS PENDANT, YG, #10245",13121,19072,16295,13533,12954,9314,1.88,RS,8,2.21,DA,1,0.03,DA,19,0.08,,0,0
185719,"TZ PENDANT, WG, #10565",6964,10823,9077,7394,7022,4750,1.17,TZ,1,0.67,DA,12,0.09,,0,0,,0,0
180806,"RU PENDANT, WG, #15835",24700,29924,27483,25072,24560,21359,1.65,RU,1,1.1,DA,44,0.25,,0,0,,0,0
182303,"RU PENDANT, WG, #17286",15842,23036,19803,16614,15955,11719,2.18,RU,5,1.14,DA,1,0.03,DA,10,0.14,,0,0
183358,"RU PENDANT, WG, #14700",9962,11499,10523,9564,9364,8074,0.66,RU,1,0.66,DA,12,0.11,DA,4,0.02,,0,0
176568,"RU MIXED NECKLACE, WG, #17557",30715,44702,38171,31718,30331,21758,4.42,RU,20,2,DA,9,0.38,DA,20,0.13,,0,0
183486,"SA RING, YG, #16880",9114,12904,10061,7194,6604,2834,1.94,SA,9,0.21,,0,0,,0,0,,0,0
181690,"RU RING, WG, #17899",20937,26073,22179,18328,17507,12420,2.63,RU,7,0.85,DA,40,0.2,,0,0,,0,0
181769,"SA RING, WG, #17681",64919,73719,69618,65534,64658,59289,2.78,SA,1,1.43,BG,4,0.46,DA,8,0.21,DA,10,0.13
179794,"EM RING, WG, #18276",55516,64874,60481,56153,55215,49457,2.97,EM,1,0.74,EM,4,0.31,OV,4,0.59,,0,0
166687,"EM RING, WG, #14160",17228,28687,23328,18055,16919,9896,3.62,EM,6,0.26,DA,5,0.22,,0,0,,0,0
178648,"EM RING, WG, #14432",74575,83225,76683,70188,68800,60229,4.43,EM,2,1,DA,14,0.61,DA,14,0.43,DA,2,0.04
182502,"BS RING, WG, #14881",24192,34571,29711,24915,23896,17544,3.28,BS,1,1.15,BG,2,0.09,DA,50,0.28,,0,0
170301,"RU RING, WG, #16888",35045,43906,39783,35673,34794,29371,2.8,RU,1,1.05,DA,22,0.39,DA,20,0.11,,0,0
180742,"EM RING, YG, #18389",87805,97197,90112,83060,81549,72229,4.81,EM,1,1.36,DA,12,1.2,DA,6,0.22,DA,28,0.63
182302,"RU RING, WG, #18501",31748,36531,32918,29327,28564,23813,2.45,RU,1,0.58,RU,11,0.52,DA,1,0.09,DA,5,0.2
184503,"RU EARRINGS, WG, #18668",21277,30350,26281,22264,21393,16075,2.75,RU,10,1.54,DA,2,0.08,DA,16,0.13,,0,0
180890,"EM RING, YW, #18413",29072,35984,30755,25570,24477,17608,3.54,EM,1,1.09,DA,16,0.42,DA,20,0.16,,0,0
180895,"SA RING, YW, #18417",50001,59510,52317,45202,43653,34230,4.87,SA,2,0.94,MQ,2,0.23,DA,14,0.9,,0,0
180519,"SA RING, WG, #17080",76898,87880,82769,77689,76580,69867,3.47,SA,1,1.57,BG,2,0.14,DA,8,0.93,,0,0
178253,"PS EARRINGS, PG, #17089",10517,13720,11290,8892,8382,5206,1.64,PS,12,0.37,DA,2,0.05,,0,0,,0,0
181587,"PS EARRINGS, PG, #16035",14234,18198,15214,12218,11585,7660,2.03,PS,14,0.25,DA,32,0.19,,0,0,,0,0
175712,"RU PENDANT, WG, #17462",13763,15911,14284,12677,12318,10202,1.1,RU,3,0.6,DA,8,0.32,,0,0,,0,0
185168,"RU PENDANT, WG, #16467",61782,68315,65386,62482,61858,58038,1.98,RU,1,1.41,DA,8,0.54,DA,8,0.28,,0,0
183447,"BS EARRINGS, WG, #13386",20828,26393,22174,18014,17125,11600,2.85,BS,12,1.05,DA,2,0.15,,0,0,,0,0
184473,"RU EARRINGS, WG, #10055",10693,13796,11463,9115,8615,5543,1.59,RU,12,0.48,DA,2,0.06,,0,0,,0,0
186070,"BS EARRINGS, WG, #445",13663,17529,14600,11696,11072,7251,1.98,BS,10,0.79,DA,2,0.03,,0,0,,0,0
185348,"PS EARRINGS, YG, #10193",20139,28784,24901,21092,20244,15184,2.62,PS,2,1.19,SA,2,0.96,YS,2,1.19,GS,2,1.35
185171,"SA PENDANT, WG, #10195",25633,30945,28590,26217,25712,22588,1.61,SA,1,1.85,TD,1,0.14,TD,2,0.09,DA,13,0.37
185162,"EM PENDANT, WG, #15266",11420,15106,13445,11772,11435,9240,1.13,EM,1,0.5,DA,32,0.15,,0,0,,0,0
180616,"EM RING, PG, #18106",39110,64744,52789,40928,38396,22698,8.1,EM,19,0.28,RS,64,1.21,YD,18,0.24,DA,21,0.26
185562,"RU PENDANT, WG, #15692",10424,12504,11561,10640,10447,9233,0.63,RU,5,1.04,DA,1,0.08,,0,0,,0,0
185892,"RU PENDANT, WG, #14971",15456,17635,16659,15700,15501,14210,0.66,RU,5,1.91,DA,1,0.05,,0,0,,0,0
181191,"RU PENDANT, WG, #15361",26809,28780,27294,25816,25500,23538,1.01,RU,1,0.83,DA,12,0.3,,0,0,,0,0
184879,"RU PENDANT, WG, #18543",14368,15442,14629,13825,13645,12587,0.55,RU,1,0.69,DA,18,0.12,,0,0,,0,0
185607,"SA PENDANT, WG, #15638",9425,11403,10534,9639,9450,8288,0.6,SA,1,0.49,SA,1,0.29,DA,1,0.01,DA,14,0.09
183642,"RU PENDANT, WG, #18493",8404,9693,8717,7758,7558,6268,0.66,RU,1,0.8,DA,16,0.06,,0,0,,0,0
181159,"RU PENDANT, WG, #17553",27300,32553,30101,27678,27137,23935,1.66,RU,8,2.59,DA,4,0.06,DA,46,0.18,,0,0
176071,"RU PENDANT, WG, #7695",23054,26725,23947,21185,20606,16966,1.88,RU,9,2.09,RU,3,0.19,DA,5,0.08,,0,0
175006,"RU PENDANT, WG, #17248",18333,24473,21629,18763,18172,14403,1.94,RU,4,0.95,DA,1,0.05,DA,28,0.25,DA,2,0.07
182392,"RU PENDANT, WG, #16913",22898,30494,26936,23438,22684,18037,2.4,RU,5,1.42,DA,1,0.04,DA,3,0.1,DA,38,0.23
184496,"RU PENDANT, WG, #16729",23470,28742,24770,20803,19941,14726,2.7,RU,1,0.17,RU,5,0.57,RU,5,0.15,DA,75,0.29
181309,"SA MIXED NECKLACE, WG, #17893",24209,28367,25231,22092,21441,17310,2.13,SA,1,1.23,DA,11,0.16,DA,20,0.1,,0,0
185347,"TZ PENDANT, WG, #7547",10588,13161,12011,10856,10609,9112,0.78,TZ,1,0.82,DA,3,0.2,,0,0,,0,0
181447,"EM MIXED NECKLACE, YW, #10943",15469,24815,20411,16042,15130,9347,2.98,EM,1,0.4,DA,5,0.16,DA,8,0.1,DA,9,0.04
183362,"RU MIXED NECKLACE, WG, #12814",18518,21935,19343,16790,16233,12852,1.75,RU,3,0.45,DA,3,0.3,,0,0,,0,0
185169,"RU RING, WG, #17831",67847,78341,73633,68979,67978,61833,3.18,RU,1,1.53,DA,8,0.54,DA,8,0.28,,0,0
185085,"EM RING, WG, #15636",17039,24815,21332,17858,17109,12512,2.37,EM,1,0.53,DA,4,0.13,DA,28,0.18,,0,0
181639,"TZ RING, WG, #15844",47884,61842,55322,48881,47496,38950,4.41,TZ,1,1.78,DA,52,0.7,,0,0,,0,0
184369,"SA RING, WG, #16040",83794,99633,92558,85519,84011,74716,4.8,SA,1,2.99,DA,12,1,,0,0,,0,0
181671,"EM RING, YG, #7004",11432,21234,16645,12095,11106,5089,3.11,EM,3,0.04,DA,22,0.14,,0,0,,0,0
180488,"SA RING, WG, #17897",17984,22670,20500,18307,17853,14987,1.48,SA,3,1.17,DA,4,0.31,,0,0,,0,0
178383,"SA RING, WP, #17968",16628,23686,20399,17118,16422,12110,2.23,SA,1,1.11,DA,44,0.16,,0,0,,0,0
181750,"BS RING, WG, #17117",12004,18080,15259,12446,11831,8113,1.92,BS,1,0.75,DA,16,0.09,,0,0,,0,0
177991,"SA RING, WG, #17887",18262,24880,19858,14907,13841,7283,3.39,SA,5,0.9,DA,4,0.05,DA,42,0.11,,0,0
183394,"RU RING, WG, #12508",13679,17427,14605,11793,11178,7460,1.92,RU,1,0.68,DA,2,0.06,DA,2,0.03,,0,0
174535,"RU RING, WG, #7831",13751,18123,14825,11531,10833,6495,2.24,RU,6,0.76,,0,0,,0,0,,0,0
181597,"SA RING, WG, #17360",13104,16754,13987,11267,10661,7046,1.87,SA,1,0.56,DA,17,0.09,,0,0,,0,0
181127,"SA RING, WG, #80159",26326,32125,27732,23404,22466,16708,2.97,SA,1,1.02,DA,12,0.31,,0,0,,0,0
180845,"SA RING, WG, #17717",24037,31262,28018,24817,24128,19894,2.19,SA,1,0.83,DA,2,0.07,DA,12,0.17,,0,0
185478,"RU RING, WG, #18105",16162,21935,19343,16790,16233,12852,1.75,RU,1,0.49,DA,14,0.19,DA,36,0.1,,0,0
182278,"RU RING, WG, #18500",26069,32271,29363,26513,25892,22096,1.96,RU,1,0.89,DA,12,0.32,,0,0,,0,0
180332,"SA RING, YG, #18661",20202,30075,25475,20913,19921,13879,3.12,SA,9,2.96,DA,70,0.25,,0,0,,0,0
181272,"RU RING, WG, #18058",12797,16917,13803,10719,10043,5965,2.11,RU,6,0.55,DA,5,0.07,,0,0,,0,0
182503,"SA RING, YG, #18662",17938,27813,23213,18651,17659,11617,3.12,SA,5,2.8,DA,54,0.16,,0,0,,0,0
176984,"RU PENDANT, WG, #17763",15737,18155,16635,15091,14770,12757,1.04,RU,1,0.61,DA,44,0.13,,0,0,,0,0
185164,"EM EARRINGS, WG, #2466",14104,16825,15079,13396,13023,10751,1.17,EM,2,0.43,DA,24,0.17,,0,0,,0,0
183250,"SA EARRINGS, WG, #18492",20538,24443,21969,19492,18976,15723,1.68,SA,2,1.19,DA,32,0.2,,0,0,,0,0
180844,"RU RING, WG, #15587",14328,21576,18115,14667,13922,9378,2.35,RU,1,0.54,DA,6,0.16,DA,6,0.07,,0,0
176243,"RU RING, WG, #17623",19568,26451,22068,17753,16817,11085,2.96,RU,2,0.29,RU,4,0.33,RU,2,0.08,DA,18,0.33
178425,"PS RING, WP, #17964",20500,31417,26328,21273,20195,13508,3.45,PS,9,2.08,DA,50,0.19,,0,0,,0,0
184768,"SA RING, WG, #15494",18312,24660,20614,16621,15782,10488,2.73,SA,5,1.56,DA,40,0.27,,0,0,,0,0
183484,"YS RING, YG, #8824",16170,25759,21300,16839,15892,10031,3.03,YS,1,0.56,RS,3,1.33,RS,2,0.56,DA,6,0.07
178560,"DA RING, PG, #18023",15217,24944,21136,17352,16508,11500,2.36,DA,34,0.46,DA,6,0.05,,0,0,,0,0
178517,"SA RING, WG, #17625",8597,14569,12236,9917,9388,6316,1.45,SA,1,0.24,DA,21,0.22,,0,0,,0,0
184586,"BL RING, PG, #9772",13133,17942,15686,13484,12995,10052,1.52,BL,7,0.16,RU,7,0.17,YD,17,0.29,DA,7,0.12
184593,"RU RING, PG, #17086",18425,24912,21906,18885,18247,14270,2.05,RU,6,0.34,SA,6,0.33,YD,12,0.47,DA,6,0.22
184591,"BL RING, YG, #17459",19891,28501,24507,20515,19649,14382,2.72,BL,3,0.08,RU,6,0.31,YD,17,0.6,DA,6,0.19
184589,"BL RING, YG, #14015",24104,31957,28463,24948,24198,19603,2.38,BL,6,0.32,RU,5,0.37,YD,10,0.5,DA,5,0.25
183293,"RU RING, WG, #15749",28258,38038,33470,28946,27988,21997,3.09,RU,1,0.85,DA,12,0.16,DA,40,0.28,,0,0
171623,"RU RING, WG, #16576",14553,18274,15929,13569,13066,9968,1.6,RU,1,0.36,DA,16,0.21,DA,16,0.11,,0,0
183596,"EM RING, WG, #13812",24710,31290,27134,22958,22073,16600,2.83,EM,1,0.61,DA,21,0.24,,0,0,,0,0
183593,"RU RING, WG, #16468",10790,17753,14498,11284,10593,6333,2.2,RU,1,0.28,DA,34,0.16,,0,0,,0,0
180702,"RU RING, WG, #18370",33058,41763,37695,33677,32806,27488,2.75,RU,1,0.92,DA,16,0.22,DA,22,0.08,,0,0
183391,"RU RING, WG, #14991",16489,21095,18166,15261,14637,10817,1.98,RU,1,0.64,DA,18,0.06,,0,0,,0,0
183493,"RU RING, WG, #13811",17657,23561,19808,16087,15281,10376,2.54,RU,1,0.59,DA,10,0.16,,0,0,,0,0
183205,"RU RING, WG, #18017",25431,30826,27398,24016,23276,18783,2.32,RU,1,0.93,DA,14,0.25,,0,0,,0,0
183595,"RU RING, WG, #13813",32319,37201,34098,31026,30380,26300,2.1,RU,1,0.72,TD,2,0.12,DA,19,0.29,DA,6,0.04
184934,"SA RING, WG, #15834",24965,33660,28128,22658,21475,14246,3.74,SA,1,1.07,DA,44,0.25,,0,0,,0,0
